Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
2014,North Coast,Minor injury,40 to 49,Female,Passenger,8
2014,Southern,Hospitalised,17 to 24,Male,Passenger,25
2014,Brisbane,Hospitalised,30 to 39,Male,Driver,77
2014,North Coast,Medically treated,25 to 29,Female,Passenger,13
2014,South Eastern,Hospitalised,17 to 24,Female,Driver,67
2013,Brisbane,Medically treated,40 to 49,Female,Passenger,34
2012,South Eastern,Minor injury,17 to 24,Female,Driver,49
2015,South Eastern,Medically treated,25 to 29,Male,Driver,61
2014,North Coast,Medically treated,17 to 24,Male,Passenger,33
2014,Northern,Medically treated,40 to 49,Male,Pedestrian,2
2013,Brisbane,Medically treated,40 to 49,Female,Driver,183
2014,South Eastern,Minor injury,30 to 39,Male,Driver,35
2018,Brisbane,Medically treated,0 to 16,Female,Pedestrian,3
2018,Southern,Hospitalised,60 to 74,Female,Driver,34
2017,Central,Hospitalised,30 to 39,Male,Passenger,9
2018,South Eastern,Minor injury,40 to 49,Female,Driver,43
2018,North Coast,Medically treated,30 to 39,Male,Pedestrian,4
2018,North Coast,Hospitalised,50 to 59,Female,Driver,49
2019,North Coast,Medically treated,17 to 24,Female,Passenger,28
2019,Brisbane,Hospitalised,75 and over,Female,Driver,23
2017,North Coast,Medically treated,17 to 24,Female,Driver,107
2019,South Eastern,Hospitalised,17 to 24,Female,Driver,77
2019,Brisbane,Medically treated,25 to 29,Female,Driver,109
2019,Brisbane,Hospitalised,50 to 59,Female,Driver,45
2018,Brisbane,Medically treated,17 to 24,Female,Driver,175
2017,North Coast,Hospitalised,17 to 24,Male,Passenger,28
2020,North Coast,Hospitalised,0 to 16,Male,Passenger,27
2019,South Eastern,Minor injury,50 to 59,Female,Driver,26
2019,North Coast,Hospitalised,60 to 74,Male,Driver,59
2016,North Coast,Medically treated,30 to 39,Male,Driver,64
2019,Central,Hospitalised,30 to 39,Male,Passenger,9
2019,North Coast,Medically treated,40 to 49,Female,Passenger,19
2019,North Coast,Minor injury,17 to 24,Female,Driver,37
2019,Far Northern,Hospitalised,40 to 49,Female,Driver,16
2019,North Coast,Hospitalised,0 to 16,Female,Passenger,34
2019,Central,Medically treated,17 to 24,Female,Driver,27
2019,Central,Minor injury,30 to 39,Male,Driver,9
2019,North Coast,Minor injury,25 to 29,Male,Driver,26
2017,North Coast,Hospitalised,17 to 24,Male,Driver,83
2019,Brisbane,Medically treated,25 to 29,Female,Passenger,32
2015,North Coast,Medically treated,17 to 24,Female,Passenger,39
2019,North Coast,Medically treated,17 to 24,Male,Driver,44
2019,Brisbane,Medically treated,75 and over,Male,Driver,11
2020,North Coast,Minor injury,17 to 24,Female,Driver,45
2020,South Eastern,Hospitalised,25 to 29,Female,Pedestrian,1
2020,Brisbane,Medically treated,50 to 59,Female,Driver,76
2020,Far Northern,Hospitalised,60 to 74,Male,Motorcyclist,8
2020,Brisbane,Minor injury,40 to 49,Female,Driver,46
2018,Far Northern,Hospitalised,17 to 24,Male,Driver,24
2018,Far Northern,Medically treated,17 to 24,Male,Driver,15
2018,South Eastern,Medically treated,30 to 39,Male,Pedestrian,3
2015,Southern,Minor injury,0 to 16,Male,Pedestrian,1
2019,Brisbane,Hospitalised,60 to 74,Male,Driver,44
2019,South Eastern,Medically treated,75 and over,Male,Motorcyclist,2
2018,South Eastern,Minor injury,17 to 24,Female,Driver,53
2017,Brisbane,Minor injury,17 to 24,Female,Driver,65
2020,Brisbane,Hospitalised,40 to 49,Male,Driver,63
2018,Brisbane,Medically treated,40 to 49,Female,Driver,167
2014,Northern,Minor injury,0 to 16,Male,Passenger,8
2016,Northern,Hospitalised,40 to 49,Male,Motorcyclist,9
2017,Far Northern,Hospitalised,25 to 29,Female,Driver,10
2017,South Eastern,Hospitalised,30 to 39,Unknown,Pedestrian,1
2017,Brisbane,Medically treated,60 to 74,Female,Pedestrian,7
2017,Central,Hospitalised,75 and over,Male,Driver,12
2013,North Coast,Medically treated,50 to 59,Female,Passenger,18
2013,Brisbane,Minor injury,50 to 59,Male,Motorcyclist,5
2014,Southern,Minor injury,0 to 16,Male,Passenger,16
2015,Southern,Hospitalised,40 to 49,Male,Driver,45
2015,South Eastern,Medically treated,50 to 59,Female,Driver,91
2016,South Eastern,Minor injury,30 to 39,Female,Passenger,8
2019,South Eastern,Medically treated,25 to 29,Female,Driver,71
